"We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based. ",,,,,,,,,,
,,,,,,,,,,
All Submitters of data may be contacted directly via www.gisaid.org ,,,,,,,,,,
,strain,virus,gisaid_epi_isl,genbank_accession,originating_lab,submitting_lab,authors,url,title,paper_url
111866,USA/CA-ALSR-0761-IPL/2020,ncov,EPI_ISL_483340,?,UC San Diego Center for Advanced Laboratory Medicine,Andersen lab at Scripps Research,SEARCH Alliance San Diego with David Pride et al,https://www.gisaid.org,?,?
111882,USA/CA-ALSR-0786-IPL/2020,ncov,EPI_ISL_483356,?,UC San Diego Center for Advanced Laboratory Medicine,Andersen lab at Scripps Research,SEARCH Alliance San Diego with David Pride et al,https://www.gisaid.org,?,?
111957,USA/CA-ALSR-0955-SAN/2020,ncov,EPI_ISL_483431,?,UC San Diego Center for Advanced Laboratory Medicine,Andersen lab at Scripps Research,SEARCH Alliance San Diego with David Pride et al,https://www.gisaid.org,?,?
111959,USA/CA-ALSR-0974-IPL/2020,ncov,EPI_ISL_483433,?,UC San Diego Center for Advanced Laboratory Medicine,Andersen lab at Scripps Research,SEARCH Alliance San Diego with David Pride et al,https://www.gisaid.org,?,?
112004,USA/CA-ALSR-1039-SAN/2020,ncov,EPI_ISL_483478,?,UC San Diego Center for Advanced Laboratory Medicine,Andersen lab at Scripps Research,SEARCH Alliance San Diego with David Pride et al,https://www.gisaid.org,?,?
112104,USA/CA-ALSR-1166/2020,ncov,EPI_ISL_494408,?,San Diego County Public Health Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Tracy Basler et al,https://www.gisaid.org,?,?
112236,USA/CA-ALSR-1437/2020,ncov,EPI_ISL_494603,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
112285,USA/CA-ALSR-1543/2020,ncov,EPI_ISL_494652,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
112366,USA/CA-ALSR-1673/2020,ncov,EPI_ISL_494733,?,San Diego County Public Health Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Tracy Basler et al,https://www.gisaid.org,?,?
112601,USA/CA-CDPH015/2020,ncov,EPI_ISL_515908,?,California Department of Public Health,California Department of Public Health,CDPH IDLB COVIDNet et al,https://www.gisaid.org,?,?
112638,USA/CA-CSMC112/2020,ncov,EPI_ISL_475588,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112678,USA/CA-CSMC19/2020,ncov,EPI_ISL_475628,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112689,USA/CA-CSMC29/2020,ncov,EPI_ISL_475639,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112690,USA/CA-CSMC3/2020,ncov,EPI_ISL_475640,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112693,USA/CA-CSMC32/2020,ncov,EPI_ISL_475643,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112696,USA/CA-CSMC35/2020,ncov,EPI_ISL_475646,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112711,USA/CA-CSMC49/2020,ncov,EPI_ISL_475661,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112712,USA/CA-CSMC5/2020,ncov,EPI_ISL_475662,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112733,USA/CA-CSMC69/2020,ncov,EPI_ISL_475683,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112737,USA/CA-CSMC72/2020,ncov,EPI_ISL_475687,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
112756,USA/CA-CSMC9/2020,ncov,EPI_ISL_475706,?,"Cedars-Sinai Medical Center, Department of Pathology & Laboratory Medicine, Molecular Pathology Laboratory","Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",Wenjuan Zhang et al,https://www.gisaid.org,?,?
113063,USA/CA-CZB-1112/2020,ncov,EPI_ISL_444070,MT460132.1,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
113087,USA/CA-CZB-1137/2020,ncov,EPI_ISL_447888,MT481928.1,"University of California, Davis",Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
113234,USA/CA-CZB-1369/2020,ncov,EPI_ISL_468374,MT628110.1,Alameda County Public Health Lab,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
113277,USA/CA-CZB-1456/2020,ncov,EPI_ISL_468417,MT628152.1,County of San Luis Obispo Public Health Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
113361,USA/CA-CZB-1564/2020,ncov,EPI_ISL_468501,MT628225.1,Ventura County Public Health Lab,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
113488,USA/CA-CZB-1729/2020,ncov,EPI_ISL_468652,MT631842.1,Contra Costa Public Health Lab,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
113519,USA/CA-CZB-1774/2020,ncov,EPI_ISL_476791,MT671827.1,Stanford clinical virology lab,Chan-Zuckerberg Biohub,Benjamin Pinksy et al,https://www.gisaid.org,?,?
113958,USA/CA-CZB-2465/2020,ncov,EPI_ISL_513870,?,San Francisco Public Health Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
114372,USA/CA-CZB-3945/2020,ncov,EPI_ISL_548538,?,Contra Costa Public Health Lab,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
114504,USA/CA-CZB-5703/2020,ncov,EPI_ISL_582970,?,San Luis Obispo Public Health Department,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
114626,USA/CA-CZB0104/2020,ncov,EPI_ISL_428990,MT385414.1,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
114645,USA/CA-CZB0142/2020,ncov,EPI_ISL_429014,MT385438.1,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
114677,USA/CA-CZB0705/2020,ncov,EPI_ISL_429024,MT385448.1,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
114687,USA/CA-CZB072/2020,ncov,EPI_ISL_429030,MT385454.1,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
114699,USA/CA-CZB077/2020,ncov,EPI_ISL_428996,MT385420.1,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al,https://www.gisaid.org,?,?
114731,USA/CA-IGI-0060/2020,ncov,EPI_ISL_511815,?,"Innovative Genomics Institute, UC Berkeley","Innovative Genomics Institute, UC Berkeley",Stacia Wyman et al,https://www.gisaid.org,?,?
114838,USA/CA-IGI-0236/2020,ncov,EPI_ISL_569905,?,"Innovative Genomics Institute, UC Berkeley","Innovative Genomics Institute, UC Berkeley",Stacia Wyman et al,https://www.gisaid.org,?,?
114954,USA/CA-QDX-1040/2020,ncov,EPI_ISL_571705,?,Quest Diagnostics,Quest Diagnostics,Rosenthal et al,https://www.gisaid.org,?,?
114963,USA/CA-QDX-1057/2020,ncov,EPI_ISL_571714,?,Quest Diagnostics,Quest Diagnostics,Rosenthal et al,https://www.gisaid.org,?,?
114997,USA/CA-QDX-1397/2020,ncov,EPI_ISL_572057,?,Quest Diagnostics,Quest Diagnostics,Rosenthal et al,https://www.gisaid.org,?,?
115042,USA/CA-QDX-157/2020,ncov,EPI_ISL_467819,MT614451.1,Quest Diagnostics,Quest Diagnostics,Anderson et al,https://www.gisaid.org,?,?
115043,USA/CA-QDX-158/2020,ncov,EPI_ISL_467820,MT614452.1,Quest Diagnostics,Quest Diagnostics,Anderson et al,https://www.gisaid.org,?,?
115050,USA/CA-QDX-205/2020,ncov,EPI_ISL_494507,MT786801.1,Quest Diagnostics,Quest Diagnostics,Anderson et al,https://www.gisaid.org,?,?
115060,USA/CA-QDX-268/2020,ncov,EPI_ISL_498703,MT806764.1,Quest Diagnostics,Quest Diagnostics,Rosenthal et al,https://www.gisaid.org,?,?
115078,USA/CA-QDX-433/2020,ncov,EPI_ISL_571158,?,Quest Diagnostics,Quest Diagnostics,Rosenthal et al,https://www.gisaid.org,?,?
115119,USA/CA-QDX-659/2020,ncov,EPI_ISL_571283,?,Quest Diagnostics,Quest Diagnostics,Rosenthal et al,https://www.gisaid.org,?,?
115120,USA/CA-QDX-661/2020,ncov,EPI_ISL_571284,?,Quest Diagnostics,Quest Diagnostics,Rosenthal et al,https://www.gisaid.org,?,?
115169,USA/CA-QDX-874/2020,ncov,EPI_ISL_571573,?,Quest Diagnostics,Quest Diagnostics,Rosenthal et al,https://www.gisaid.org,?,?
115205,USA/CA-QRTP-Donor6/2020,ncov,EPI_ISL_490215,?,Quest Diagnostics,Q Squared Solutions - QRTP facility,Victor J Weigman et al,https://www.gisaid.org,?,?
115330,USA/CA-SR0128/2020,ncov,EPI_ISL_445113,?,UC San Diego Center for Advanced Laboratory Medicine,Andersen lab at Scripps Research,SEARCH Alliance San Diego with David Pride et al,https://www.gisaid.org,?,?
115340,USA/CA-SR0178/2020,ncov,EPI_ISL_437599,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
115344,USA/CA-SR0182/2020,ncov,EPI_ISL_437595,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
115345,USA/CA-SR0184/2020,ncov,EPI_ISL_437594,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
115380,USA/CA-SR0250/2020,ncov,EPI_ISL_437560,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
115384,USA/CA-SR0256/2020,ncov,EPI_ISL_437556,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
115386,USA/CA-SR0258/2020,ncov,EPI_ISL_437554,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
115388,USA/CA-SR0260/2020,ncov,EPI_ISL_437552,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
115390,USA/CA-SR0262/2020,ncov,EPI_ISL_437550,?,Scripps Medical Laboratory,Andersen lab at Scripps Research,SEARCH Alliance San Diego with Michael Quigley et al,https://www.gisaid.org,?,?
115510,USA/CA-UCLA-155/2020,ncov,EPI_ISL_537494,?,UCLA Pathology Clinical Microbiology Lab,Kruglyak Lab,Guo et al. et al,https://www.gisaid.org,?,?
115531,USA/CA-UCLA-208/2020,ncov,EPI_ISL_537515,?,UCLA Pathology Clinical Microbiology Lab,Kruglyak Lab,Guo et al. et al,https://www.gisaid.org,?,?
115539,USA/CA-UCLA-216/2020,ncov,EPI_ISL_537523,?,UCLA Pathology Clinical Microbiology Lab,Kruglyak Lab,Guo et al. et al,https://www.gisaid.org,?,?
115549,USA/CA-UCLA-228/2020,ncov,EPI_ISL_537533,?,UCLA Pathology Clinical Microbiology Lab,Kruglyak Lab,Guo et al. et al,https://www.gisaid.org,?,?
115567,USA/CA-UCLA-25/2020,ncov,EPI_ISL_537551,?,UCLA Pathology Clinical Microbiology Lab,Kruglyak Lab,Guo et al. et al,https://www.gisaid.org,?,?
115829,USA/CT-UW-3423/2020,ncov,EPI_ISL_490983,?,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115838,USA/CT-UW-4238/2020,ncov,EPI_ISL_427162,MT358651.1,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115843,USA/CT-UW-4344/2020,ncov,EPI_ISL_426052,MT345868.1,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115864,USA/CT-UW-5764/2020,ncov,EPI_ISL_430923,MT412280.1,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115865,USA/CT-UW-5765/2020,ncov,EPI_ISL_461441,?,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115871,USA/CT-UW-6259/2020,ncov,EPI_ISL_430960,MT412317.1,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115884,USA/CT-UW-6385/2020,ncov,EPI_ISL_430973,MT412330.1,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115902,USA/CT-UW-6576/2020,ncov,EPI_ISL_437872,MT461668.1,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115903,USA/CT-UW-6577/2020,ncov,EPI_ISL_461408,MT683387.1,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115913,USA/CT-UW-6709/2020,ncov,EPI_ISL_570137,?,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al,https://www.gisaid.org,?,?
115965,USA/CT-Yale-014/2020,ncov,EPI_ISL_419518,MT635212.1,Yale Clinical Virology Laboratory,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al,https://www.gisaid.org,?,?
116015,USA/CT-Yale-076/2020,ncov,EPI_ISL_428384,MT635258.1,Yale COVID-19 Biorepository,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al,https://www.gisaid.org,?,?
116084,USA/CT-Yale-215/2020,ncov,EPI_ISL_463151,MT877269.1,Yale Clinical Virology Laboratory,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al,https://www.gisaid.org,?,?
116089,USA/CT-Yale-221/2020,ncov,EPI_ISL_463156,MT877274.1,Yale Clinical Virology Laboratory,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al,https://www.gisaid.org,?,?
116110,USA/CT-Yale-245/2020,ncov,EPI_ISL_469173,MT877294.1,Yale Clinical Virology Laboratory,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al,https://www.gisaid.org,?,?
116114,USA/CT-Yale-250/2020,ncov,EPI_ISL_469177,MT877298.1,Yale Clinical Virology Laboratory,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al,https://www.gisaid.org,?,?
116155,USA/CT-Yale-297/2020,ncov,EPI_ISL_476526,MT877338.1,Yale Clinical Virology Laboratory,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al,https://www.gisaid.org,?,?
116185,USA/CT-Yale-328/2020,ncov,EPI_ISL_476556,MT877367.1,Yale Clinical Virology Laboratory,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al,https://www.gisaid.org,?,?
116360,USA/FL-05-UMTL-9TXV/2020,ncov,EPI_ISL_479764,?,University of Miami Immunology and Histocompatibility Laboratory,University of Miami Immunology and Histocompatibility Laboratory,Emilio Margolles-Clark et al,https://www.gisaid.org,?,?
116363,USA/FL-06-UMTL-A5QM/2020,ncov,EPI_ISL_479767,?,University of Miami Immunology and Histocompatibility Laboratory,University of Miami Immunology and Histocompatibility Laboratory,Emilio Margolles-Clark et al,https://www.gisaid.org,?,?
116372,USA/FL-9F97/2020,ncov,EPI_ISL_513265,?,University of Miami Immunology and Histocompatibility Laboratory,University of Miami Immunology and Histocompatibility Laboratory,Emilio Margolles-Clark et al,https://www.gisaid.org,?,?
116377,USA/FL-ACYH/2020,ncov,EPI_ISL_513270,?,University of Miami Immunology and Histocompatibility Laboratory,University of Miami Immunology and Histocompatibility Laboratory,Emilio Margolles-Clark et al,https://www.gisaid.org,?,?
116378,USA/FL-AD68/2020,ncov,EPI_ISL_513271,?,University of Miami Immunology and Histocompatibility Laboratory,University of Miami Immunology and Histocompatibility Laboratory,Emilio Margolles-Clark et al,https://www.gisaid.org,?,?
116379,USA/FL-ADA1/2020,ncov,EPI_ISL_513272,?,University of Miami Immunology and Histocompatibility Laboratory,University of Miami Immunology and Histocompatibility Laboratory,Emilio Margolles-Clark et al,https://www.gisaid.org,?,?
116515,USA/FL-BPHL-0167/2020,ncov,EPI_ISL_480818,MT703985.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116524,USA/FL-BPHL-0175/2020,ncov,EPI_ISL_480826,MT703993.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116546,USA/FL-BPHL-0195/2020,ncov,EPI_ISL_480846,MT704013.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116550,USA/FL-BPHL-0199/2020,ncov,EPI_ISL_480850,MT704017.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116553,USA/FL-BPHL-0200/2020,ncov,EPI_ISL_480851,MT704018.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116577,USA/FL-BPHL-0222/2020,ncov,EPI_ISL_480873,MT704040.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116609,USA/FL-BPHL-0251/2020,ncov,EPI_ISL_480902,MT704069.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116612,USA/FL-BPHL-0254/2020,ncov,EPI_ISL_480905,MT704072.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116615,USA/FL-BPHL-0257/2020,ncov,EPI_ISL_480908,MT704075.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116637,USA/FL-BPHL-0277/2020,ncov,EPI_ISL_480928,MT704095.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116688,USA/FL-BPHL-0322/2020,ncov,EPI_ISL_489731,MT757041.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116705,USA/FL-BPHL-0338/2020,ncov,EPI_ISL_489747,MT757058.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116727,USA/FL-BPHL-0358/2020,ncov,EPI_ISL_489767,MT757027.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116794,USA/FL-BPHL-0418/2020,ncov,EPI_ISL_489827,MT757104.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116825,USA/FL-BPHL-0446/2020,ncov,EPI_ISL_495352,MT791888.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116831,USA/FL-BPHL-0451/2020,ncov,EPI_ISL_495357,MT791893.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116844,USA/FL-BPHL-0463/2020,ncov,EPI_ISL_495369,MT791905.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116864,USA/FL-BPHL-0481/2020,ncov,EPI_ISL_495387,MT791923.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116920,USA/FL-BPHL-0531/2020,ncov,EPI_ISL_508734,MT834689.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
116936,USA/FL-BPHL-0546/2020,ncov,EPI_ISL_508749,MT834656.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117029,USA/FL-BPHL-0633/2020,ncov,EPI_ISL_508837,MT834731.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117073,USA/FL-BPHL-0677/2020,ncov,EPI_ISL_509735,MT846439.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117100,USA/FL-BPHL-0703/2020,ncov,EPI_ISL_509761,MT846465.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117143,USA/FL-BPHL-0746/2020,ncov,EPI_ISL_512552,MT893664.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117205,USA/FL-BPHL-0807/2020,ncov,EPI_ISL_514153,MT890286.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117211,USA/FL-BPHL-0813/2020,ncov,EPI_ISL_514159,MT890292.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117309,USA/FL-BPHL-0910/2020,ncov,EPI_ISL_517800,MT966154.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117356,USA/FL-BPHL-0957/2020,ncov,EPI_ISL_517847,MT966084.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117370,USA/FL-BPHL-0971/2020,ncov,EPI_ISL_517861,MT966098.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117450,USA/FL-BPHL-1051/2020,ncov,EPI_ISL_517941,MT966129.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117454,USA/FL-BPHL-1055/2020,ncov,EPI_ISL_517945,MT966134.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117561,USA/FL-BPHL-1162/2020,ncov,EPI_ISL_526648,?,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117565,USA/FL-BPHL-1166/2020,ncov,EPI_ISL_526652,MT956776.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117566,USA/FL-BPHL-1167/2020,ncov,EPI_ISL_526653,MT956777.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117577,USA/FL-BPHL-1178/2020,ncov,EPI_ISL_526664,MT956788.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117586,USA/FL-BPHL-1187/2020,ncov,EPI_ISL_526673,MT956797.1,Florida Bureau of Public Health Laboratories,Florida Bureau of Public Health Laboratories,Sarah Schmedes et al,https://www.gisaid.org,?,?
117739,USA/FL-BPHL-1340/2020,ncov,EPI_ISL_541278,MW023539.1,"Florida Bureau of Public Health Laboratories, Florida Department of Health","Florida Bureau of Public Health Laboratories, Florida Department of Health",Schmedes et al,https://www.gisaid.org,?,?
117748,USA/FL-BPHL-1349/2020,ncov,EPI_ISL_541287,MW023548.1,"Florida Bureau of Public Health Laboratories, Florida Department of Health","Florida Bureau of Public Health Laboratories, Florida Department of Health",Schmedes et al,https://www.gisaid.org,?,?
117753,USA/FL-BPHL-1354/2020,ncov,EPI_ISL_541292,MW023553.1,"Florida Bureau of Public Health Laboratories, Florida Department of Health","Florida Bureau of Public Health Laboratories, Florida Department of Health",Schmedes et al,https://www.gisaid.org,?,?
117761,USA/FL-BPHL-1362/2020,ncov,EPI_ISL_541299,MW023560.1,"Florida Bureau of Public Health Laboratories, Florida Department of Health","Florida Bureau of Public Health Laboratories, Florida Department of Health",Schmedes et al,https://www.gisaid.org,?,?
117780,USA/FL-BPHL-1381/2020,ncov,EPI_ISL_541318,MW023579.1,"Florida Bureau of Public Health Laboratories, Florida Department of Health","Florida Bureau of Public Health Laboratories, Florida Department of Health",Schmedes et al,https://www.gisaid.org,?,?
117781,USA/FL-BPHL-1382/2020,ncov,EPI_ISL_541319,MW023580.1,"Florida Bureau of Public Health Laboratories, Florida Department of Health","Florida Bureau of Public Health Laboratories, Florida Department of Health",Schmedes et al,https://www.gisaid.org,?,?
